id,value
462,
462.459,
462.461,
462.461.454,
462.461.460,
462.461.460.453,
462.461.460.458,
462.459.448,
462.459.456,
462.461.460.458.442,
462.461.460.458.457,
462.461.460.458.457.439,
462.461.460.458.457.455,
462.459.456.444,
462.459.456.449,
462.461.460.458.457.455.446,
462.461.460.458.457.455.451,
462.461.454.438,
462.461.454.452,
462.461.460.453.441,
462.461.460.453.450,
462.461.454.452.401,
462.461.454.452.436,
462.461.460.458.457.455.451.445,
462.461.460.458.457.455.451.447,
462.461.460.453.450.419,
462.461.460.453.450.437,
462.459.456.449.420,
462.459.456.449.433,
462.459.448.418,
462.459.448.443,
462.461.460.458.457.455.451.447.435,
462.461.460.458.457.455.451.447.440,
462.461.460.458.457.455.446.424,
462.461.460.458.457.455.446.434,
462.461.460.458.457.455.451.445.PMID-25995231,20
462.461.460.458.457.455.451.445.414,
462.459.456.444.427,
462.459.456.444.430,
462.459.448.443.398,
462.459.448.443.428,
462.461.460.458.442.405,
462.461.460.458.442.432,
462.461.460.453.441.408,
462.461.460.453.441.431,
462.461.460.458.457.455.451.447.440.407,
462.461.460.458.457.455.451.447.440.410,
462.461.460.458.457.439.382,
462.461.460.458.457.439.429,
462.461.454.438.404,
462.461.454.438.425,
462.461.460.453.450.437.417,
462.461.460.453.450.437.423,
462.461.454.452.436.390,
462.461.454.452.436.421,
462.461.460.458.457.455.451.447.435.388,
462.461.460.458.457.455.451.447.435.426,
462.461.460.458.457.455.446.434.396,
462.461.460.458.457.455.446.434.406,
462.459.456.449.433.416,
462.459.456.449.433.422,
462.461.460.458.442.432.343,
462.461.460.458.442.432.371,
462.461.460.453.441.431.364,
462.461.460.453.441.431.411,
462.459.456.444.430.379,
462.459.456.444.430.380,
462.461.460.458.457.439.429.362,
462.461.460.458.457.439.429.415,
462.459.448.443.428.370,
462.459.448.443.428.413,
462.459.456.444.427.386,
462.459.456.444.427.399,
462.461.460.458.457.455.451.447.435.426.402,
462.461.460.458.457.455.451.447.435.426.403,
462.461.454.438.425.393,
462.461.454.438.425.412,
462.461.460.458.457.455.446.424.368,
462.461.460.458.457.455.446.424.395,
462.461.460.453.450.437.423.357,
462.461.460.453.450.437.423.387,
462.459.456.449.433.422.295,
462.459.456.449.433.422.375,
462.461.454.452.436.421.294,
462.461.454.452.436.421.409,
462.459.456.449.420.280,
462.459.456.449.420.389,
462.461.460.453.450.419.347,
462.461.460.453.450.419.351,
462.459.448.418.235,
462.459.448.418.376,
462.461.460.453.450.437.417.378,
462.461.460.453.450.437.417.400,
462.459.456.449.433.416.PMID-25255808,21
462.459.456.449.433.416.abstract03,21
462.461.460.458.457.439.429.415.332,
462.461.460.458.457.439.429.415.397,
462.461.460.458.457.455.451.445.414.PMID-16835078,21
462.461.460.458.457.455.451.445.414.369,
462.459.448.443.428.413.PMID-22127289,22
462.459.448.443.428.413.354,
462.461.454.438.425.412.PMID-22593246,21
462.461.454.438.425.412.331,
462.461.460.453.441.431.411.PMID-25323936,22
462.461.460.453.441.431.411.384,
462.461.460.458.457.455.451.447.440.410.PMID-25519004,21
462.461.460.458.457.455.451.447.440.410.367,
462.461.454.452.436.421.409.337,
462.461.454.452.436.421.409.391,
462.461.460.453.441.408.326,
462.461.460.453.441.408.372,
462.461.460.458.457.455.451.447.440.407.PMID-23929860,21
462.461.460.458.457.455.451.447.440.407.394,
462.461.460.458.457.455.446.434.406.PMID-22832384,20
462.461.460.458.457.455.446.434.406.381,
462.461.460.458.442.405.377,
462.461.460.458.442.405.385,
462.461.454.438.404.269,
462.461.454.438.404.321,
462.461.460.458.457.455.451.447.435.426.403.328,
462.461.460.458.457.455.451.447.435.426.403.358,
